MAE,RMSE,MAPE,NNSE,R2,model
0.0532331827984371,0.0749744641300033,1.0,0.7347771663004644,0.6390431740892164,SVR
0.0350636856469478,0.0471551466350538,1.0,0.8750541976949163,0.8572136415844662,DTR
0.0345491854356178,0.0475922090700645,1.0,0.8730227781578236,0.8545545144765722,RFR
0.0114034799793771,0.0168946764362541,1.0,0.982001332557232,0.98167144295426,GBR
0.0703616512918006,0.1035832447113759,1.0,0.5920728078972144,0.3110185324140017,MLP
0.062871762425602,0.0885187407196173,1.0,0.6652688338690784,0.496848267813497,FLNN
0.0526218967231806,0.0804658700328576,1.0,0.7063299950661565,0.5842311568456926,AVOA-FLNN
0.0527609322088434,0.0797673641626705,1.0,0.7099339284824624,0.5914182153012804,ARO-FLNN
0.0494631387801258,0.0759347993102312,1.0,0.7297869542127634,0.6297370839155091,RUN-FLNN
0.0513098250683171,0.0775359452286544,1.0,0.7214787971332952,0.6139578820980276,INFO-FLNN
0.0511523284749874,0.077313726665039,1.0,0.722630814943781,0.6161675099922251,TLO-FLNN
0.0486056011878431,0.0745333276367058,1.0,0.7370708324709324,0.6432782902999534,SHADE-FLNN
