MAE,RMSE,MAPE,NNSE,R2,model
0.0642858935242348,0.078730579188036,1.0,0.876742078844931,0.8594137042932217,SVR
0.0688300870737949,0.0895974602591791,1.0,0.8459708579487505,0.8179261843313039,DTR
0.0639900180900509,0.079430212656946,1.0,0.8748171501699492,0.8569039829572024,RFR
0.0211141012686145,0.0308114411126703,1.0,0.9789220566794786,0.9784682108481464,GBR
0.1121354563568847,0.1392579220581651,1.0,0.6945210303444713,0.5601587910102361,MLP
0.0866895110993441,0.1133112066039501,1.0,0.7744691541480672,0.7087929911165776,FLNN
0.083266367255363,0.1093655133936012,1.0,0.7866091161001892,0.7287205556963932,AVOA-FLNN
0.0821468000055006,0.1081490911035253,1.0,0.7903399144636205,0.7347216283785067,ARO-FLNN
0.0816172010415815,0.1076306193211058,1.0,0.791928064305003,0.7372590452674497,RUN-FLNN
0.0840862265934317,0.1111700085585608,1.0,0.7810636789491626,0.7196946587691893,INFO-FLNN
0.0813881846179159,0.1075422457959447,1.0,0.7921986380184382,0.7376903316807706,TLO-FLNN
0.0794295264061172,0.1048226572767752,1.0,0.8005055667752942,0.7507894491872973,SHADE-FLNN
