AS,PS,NPV,RS,F1S,model
0.9863263445761168,0.984787018255578,0.984787018255578,0.9878836833602584,0.9861435429583852,SVC
0.9790337283500457,0.9803831495848644,0.9803831495848644,0.9771327759039076,0.9786122321654872,DTC
0.9744758432087512,0.9736463920655803,0.9736463920655803,0.974523627662379,0.9740714478660184,RFC
1.0,1.0,1.0,1.0,1.0,GBC
0.9781221513217868,0.976690313687254,0.976690313687254,0.979184269404695,0.9778153775632642,MLP
0.9708295350957156,0.9690750028534788,0.9690750028534788,0.9722456925395936,0.9704458049611714,FLNN
0.9954421148587056,0.9954842091025902,0.9954842091025902,0.9952464158008936,0.9953644426978352,AVOA-FLNN
0.9881494986326343,0.9867617107942974,0.9867617107942974,0.9894991922455574,0.987985931214591,ARO-FLNN
1.0,1.0,1.0,1.0,1.0,RUN-FLNN
0.9927073837739288,0.9928229746004682,0.9928229746004682,0.9923466111490392,0.9925813214309868,INFO-FLNN
1.0,1.0,1.0,1.0,1.0,TLO-FLNN
1.0,1.0,1.0,1.0,1.0,SHADE-FLNN
