AS,PS,NPV,RS,F1S,model
0.875,0.8785720605149075,0.8785720605149075,0.8700276720857835,0.8727054458146895,SVC
0.9398148148148148,0.950381679389313,0.950381679389313,0.9336734693877552,0.9383764566462572,DTC
0.9166666666666666,0.9206349206349208,0.9206349206349208,0.912487028709789,0.9152424136728288,RFC
0.9305555555555556,0.938118150227212,0.938118150227212,0.9251988931165688,0.9290950869898238,GBC
0.875,0.8785720605149075,0.8785720605149075,0.8700276720857835,0.8727054458146895,MLP
0.875,0.8758195646472593,0.8758195646472593,0.8717571774472501,0.8733027742173752,FLNN
0.8981481481481481,0.908008658008658,0.908008658008658,0.8912141127637496,0.8955604395604395,AVOA-FLNN
0.9027777777777778,0.9030448020878644,0.9030448020878644,0.9006399169837427,0.9016628005289744,ARO-FLNN
0.8981481481481481,0.8979166666666667,0.8979166666666667,0.8964026288481495,0.8970804816772069,RUN-FLNN
0.8981481481481481,0.9015873015873016,0.9015873015873016,0.8938083708059495,0.896407394489013,INFO-FLNN
0.9074074074074074,0.9066067104808024,0.9066067104808024,0.9066067104808024,0.9066067104808024,TLO-FLNN
0.9120370370370372,0.9124401913875596,0.9124401913875596,0.9099792459356624,0.9110282480976436,SHADE-FLNN
