AS,PS,NPV,RS,F1S,model
0.95,0.9299145299145298,0.9619753086419752,0.9285714285714284,0.9284802043422732,SVC
1.0,1.0,1.0,1.0,1.0,DTC
0.9888888888888888,0.9841269841269842,0.9914529914529916,0.9841269841269842,0.9841269841269842,RFC
1.0,1.0,1.0,1.0,1.0,GBC
0.9333333333333332,0.9190705128205128,0.9534313725490196,0.9047619047619048,0.9033927544565842,MLP
0.9,0.865012285012285,0.9261974004391952,0.8558201058201059,0.8544173118919992,FLNN
0.9888888888888888,0.9848484848484848,0.9918590220898486,0.9828042328042328,0.9835371620777246,AVOA-FLNN
0.9944444444444444,0.992248062015504,0.9957805907172996,0.992063492063492,0.9920623671155208,ARO-FLNN
0.9944444444444444,0.992248062015504,0.9957805907172996,0.992063492063492,0.9920623671155208,RUN-FLNN
0.9833333333333334,0.9763660427301948,0.9872321771055949,0.9761904761904762,0.9761871013465628,INFO-FLNN
0.9944444444444444,0.992248062015504,0.9957805907172996,0.992063492063492,0.9920623671155208,TLO-FLNN
0.9944444444444444,0.992248062015504,0.9957805907172996,0.992063492063492,0.9920623671155208,SHADE-FLNN
