AS,PS,NPV,RS,F1S,model
0.9449339207048458,0.957818100358423,0.957818100358423,0.9264015522961048,0.9388690505043976,SVC
0.9889867841409692,0.9900546677880572,0.9900546677880572,0.9862817918170628,0.9881143742767832,DTC
0.9823788546255506,0.9835557523243312,0.9835557523243312,0.9785516075862212,0.9809583726538744,RFC
1.0,1.0,1.0,1.0,1.0,GBC
0.9757709251101322,0.9799435511460828,0.9799435511460828,0.9683177199607752,0.973642960812772,MLP
0.9757709251101322,0.975735912531539,0.975735912531539,0.9720732750526822,0.9738516234089232,FLNN
0.9779735682819384,0.9787700546033352,0.9787700546033352,0.9738154353314276,0.976197965817343,AVOA-FLNN
0.9823788546255506,0.9835557523243312,0.9835557523243312,0.9785516075862212,0.9809583726538744,ARO-FLNN
0.9713656387665198,0.9697749330655956,0.9697749330655956,0.9685889544951908,0.9691761326543936,RUN-FLNN
0.9757709251101322,0.974523092369478,0.974523092369478,0.9733251267499844,0.9739182660921792,INFO-FLNN
0.9889867841409692,0.9900546677880572,0.9900546677880572,0.9862817918170628,0.9881143742767832,TLO-FLNN
0.9889867841409692,0.9900546677880572,0.9900546677880572,0.9862817918170628,0.9881143742767832,SHADE-FLNN
