AS,PS,NPV,RS,F1S,model
0.9953051643192488,0.9942528735632185,0.9967637540453076,0.9916666666666668,0.992882039992662,SVC
1.0,1.0,1.0,1.0,1.0,DTC
1.0,1.0,1.0,1.0,1.0,RFC
1.0,1.0,1.0,1.0,1.0,GBC
1.0,1.0,1.0,1.0,1.0,MLP
0.9859154929577464,0.9785101303393984,0.9888116358986654,0.980896686159844,0.97962780873302,FLNN
0.9859154929577464,0.9776855215360664,0.9886363636363636,0.9824561403508772,0.9796293878419484,AVOA-FLNN
1.0,1.0,1.0,1.0,1.0,ARO-FLNN
0.9953051643192488,0.991869918699187,0.996124031007752,0.9941520467836256,0.9929349211551768,RUN-FLNN
0.9953051643192488,0.9927536231884058,0.996124031007752,0.9941520467836256,0.9933871438296216,INFO-FLNN
1.0,1.0,1.0,1.0,1.0,TLO-FLNN
1.0,1.0,1.0,1.0,1.0,SHADE-FLNN
