MAE,RMSE,MAPE,NNSE,R2,model
0.0590246965847997,0.0766944494223243,1.0,0.6904084628063738,0.5515820650065646,SVR
0.0553764375666778,0.0772940573984566,1.0,0.6870694540153477,0.5445430674354181,DTR
0.0552943710524212,0.0763627707734328,1.0,0.6922581599812012,0.55545220293661,RFR
0.0409845770393407,0.0548630969389236,1.0,0.8133621568659231,0.7705353739922732,GBR
0.0661140923505504,0.090203337584579,1.0,0.617170454690509,0.379702086514385,MLP
0.0559773285938025,0.0762051412565397,1.0,0.6931378781666295,0.5572855971382924,FLNN
0.0574747621304843,0.0789277074974132,1.0,0.6780060796570804,0.525086971925419,AVOA-FLNN
0.056425104516876,0.0776324310537962,1.0,0.6851880254568224,0.5405465903562908,ARO-FLNN
0.0558274641580834,0.0766540944355626,1.0,0.690633412633429,0.5520538368004286,RUN-FLNN
0.0566163187355366,0.0775821202734455,1.0,0.6854676306989297,0.5411419077800059,INFO-FLNN
0.05557574073924,0.0759556123674843,1.0,0.6945313238994957,0.5601801307024878,TLO-FLNN
0.0566648873656294,0.0782252297507882,1.0,0.6818970919815708,0.5335030582194851,SHADE-FLNN
