MAE,RMSE,MAPE,NNSE,R2,model
0.0590588510033718,0.0694993605092671,1.0,0.9382282758344828,0.93416130620176,SVR
0.0167103053296271,0.0258712193130184,1.0,0.9909591526296838,0.9908766699956052,DTR
0.0221825278670957,0.0290845834308645,1.0,0.9886010109824108,0.9884695758036284,RFR
0.0055088368360969,0.0077368930136471,1.0,0.9991847354418586,0.9991840702432458,GBR
0.0592034881416785,0.0849833729486713,1.0,0.9103790069766136,0.901556393176267,MLP
0.0623920251777029,0.0843741723618333,1.0,0.9115460457857142,0.9029627141456772,FLNN
0.0609312666812134,0.0839388708396258,1.0,0.9123766235653936,0.9039613968931042,AVOA-FLNN
0.0600461953827344,0.0819827300982556,1.0,0.916074287693143,0.9083854732805582,ARO-FLNN
0.059549705872552,0.0820796072624695,1.0,0.9158925164801054,0.9081688276664486,RUN-FLNN
0.0618846788980553,0.0839529046236835,1.0,0.9123498898466904,0.9039292807192228,INFO-FLNN
0.0585878053882034,0.0804897509409421,1.0,0.9188574078769968,0.9116918561820362,TLO-FLNN
0.0558226193757978,0.0760301194892104,1.0,0.926961377394901,0.9212064014896024,SHADE-FLNN
